modelo,color,año,precio,potencia,tracción,imagen
Pilot,Azul,2017,45000,120,Trasera,https://www.kbb.com/wp-content/uploads/2023/01/2023-honda-pilot-elite-driving-front-3qtr.jpg?w=757
Civic,Gris,2019,45000,140,Delantera,https://hosteriadeinumeriprimi.com/wp-content/uploads/2021/10/2023-Honda-Civic-Si-specs-price-mpg-pictures.jpg
Accord,Blanco,2020,40000,140,Delantera,https://www.ihwanburhan.com/wp-content/uploads/2021/03/2023-Honda-Accord-Exterior-1.png
CR-V,Blanco,2018,45000,180,Trasera,https://www.cnet.com/a/img/resize/b9b708600a8a549feff5ccf073411ee903b9a852/hub/2022/07/12/76f438ac-9244-4cb6-9f73-2e633077f684/2023-honda-cr-v-001.jpg?auto=webp&fit=crop&height=675&width=1200
Pilot,Rojo,2017,50000,120,Delantera,https://www.kbb.com/wp-content/uploads/2023/01/2023-honda-pilot-elite-driving-front-3qtr.jpg?w=757
Accord,Blanco,2021,50000,140,4x4,https://www.ihwanburhan.com/wp-content/uploads/2021/03/2023-Honda-Accord-Exterior-1.png
Pilot,Gris,2017,45000,140,4x4,https://www.kbb.com/wp-content/uploads/2023/01/2023-honda-pilot-elite-driving-front-3qtr.jpg?w=757
Accord,Blanco,2018,55000,160,Trasera,https://www.ihwanburhan.com/wp-content/uploads/2021/03/2023-Honda-Accord-Exterior-1.png
CR-V,Negro,2017,55000,120,4x4,https://www.cnet.com/a/img/resize/b9b708600a8a549feff5ccf073411ee903b9a852/hub/2022/07/12/76f438ac-9244-4cb6-9f73-2e633077f684/2023-honda-cr-v-001.jpg?auto=webp&fit=crop&height=675&width=1200
Accord,Azul,2020,40000,160,Trasera,https://www.ihwanburhan.com/wp-content/uploads/2021/03/2023-Honda-Accord-Exterior-1.png
CR-V,Gris,2018,50000,180,4x4,https://www.cnet.com/a/img/resize/b9b708600a8a549feff5ccf073411ee903b9a852/hub/2022/07/12/76f438ac-9244-4cb6-9f73-2e633077f684/2023-honda-cr-v-001.jpg?auto=webp&fit=crop&height=675&width=1200
CR-V,Azul,2020,40000,200,Trasera,https://www.cnet.com/a/img/resize/b9b708600a8a549feff5ccf073411ee903b9a852/hub/2022/07/12/76f438ac-9244-4cb6-9f73-2e633077f684/2023-honda-cr-v-001.jpg?auto=webp&fit=crop&height=675&width=1200
CR-V,Blanco,2021,50000,180,Delantera,https://www.cnet.com/a/img/resize/b9b708600a8a549feff5ccf073411ee903b9a852/hub/2022/07/12/76f438ac-9244-4cb6-9f73-2e633077f684/2023-honda-cr-v-001.jpg?auto=webp&fit=crop&height=675&width=1200
Accord,Negro,2018,35000,160,Trasera,https://www.ihwanburhan.com/wp-content/uploads/2021/03/2023-Honda-Accord-Exterior-1.png
Accord,Blanco,2019,40000,160,Trasera,https://www.ihwanburhan.com/wp-content/uploads/2021/03/2023-Honda-Accord-Exterior-1.png
Accord,Blanco,2020,35000,140,Trasera,https://www.ihwanburhan.com/wp-content/uploads/2021/03/2023-Honda-Accord-Exterior-1.png
Pilot,Rojo,2018,40000,140,4x4,https://www.kbb.com/wp-content/uploads/2023/01/2023-honda-pilot-elite-driving-front-3qtr.jpg?w=757
Accord,Gris,2018,45000,140,Trasera,https://www.ihwanburhan.com/wp-content/uploads/2021/03/2023-Honda-Accord-Exterior-1.png
CR-V,Blanco,2021,50000,120,Delantera,https://www.cnet.com/a/img/resize/b9b708600a8a549feff5ccf073411ee903b9a852/hub/2022/07/12/76f438ac-9244-4cb6-9f73-2e633077f684/2023-honda-cr-v-001.jpg?auto=webp&fit=crop&height=675&width=1200
Civic,Blanco,2019,55000,180,Trasera,https://hosteriadeinumeriprimi.com/wp-content/uploads/2021/10/2023-Honda-Civic-Si-specs-price-mpg-pictures.jpg
CR-V,Azul,2020,40000,120,Delantera,https://www.cnet.com/a/img/resize/b9b708600a8a549feff5ccf073411ee903b9a852/hub/2022/07/12/76f438ac-9244-4cb6-9f73-2e633077f684/2023-honda-cr-v-001.jpg?auto=webp&fit=crop&height=675&width=1200
Accord,Azul,2021,40000,200,4x4,https://www.ihwanburhan.com/wp-content/uploads/2021/03/2023-Honda-Accord-Exterior-1.png
Civic,Azul,2018,40000,200,4x4,https://hosteriadeinumeriprimi.com/wp-content/uploads/2021/10/2023-Honda-Civic-Si-specs-price-mpg-pictures.jpg
Pilot,Gris,2021,35000,120,4x4,https://www.kbb.com/wp-content/uploads/2023/01/2023-honda-pilot-elite-driving-front-3qtr.jpg?w=757
Pilot,Rojo,2021,55000,140,Delantera,https://www.kbb.com/wp-content/uploads/2023/01/2023-honda-pilot-elite-driving-front-3qtr.jpg?w=757
Civic,Blanco,2018,50000,200,Trasera,https://hosteriadeinumeriprimi.com/wp-content/uploads/2021/10/2023-Honda-Civic-Si-specs-price-mpg-pictures.jpg
Civic,Gris,2021,55000,200,Trasera,https://hosteriadeinumeriprimi.com/wp-content/uploads/2021/10/2023-Honda-Civic-Si-specs-price-mpg-pictures.jpg
Pilot,Negro,2017,35000,120,Trasera,https://www.kbb.com/wp-content/uploads/2023/01/2023-honda-pilot-elite-driving-front-3qtr.jpg?w=757
CR-V,Gris,2020,55000,200,4x4,https://www.cnet.com/a/img/resize/b9b708600a8a549feff5ccf073411ee903b9a852/hub/2022/07/12/76f438ac-9244-4cb6-9f73-2e633077f684/2023-honda-cr-v-001.jpg?auto=webp&fit=crop&height=675&width=1200
