Modelo,Color,Año,Precio,Potencia,Tracción
Focus,Negro,2017,35000,150,Delantera
Focus,Gris,2019,50000,250,Delantera
Mustang,Azul,2017,35000,150,4x4
Fiesta,Rojo,2017,55000,250,Trasera
Focus,Gris,2021,50000,100,Trasera
Focus,Negro,2020,50000,200,4x4
Focus,Azul,2017,45000,150,Delantera
Explorer,Blanco,2021,50000,100,Trasera
Explorer,Blanco,2020,50000,200,Trasera
Fiesta,Azul,2019,45000,250,4x4
Focus,Gris,2021,55000,150,Trasera
Mustang,Gris,2021,45000,100,Delantera
Fiesta,Gris,2017,50000,150,Delantera
Focus,Blanco,2018,50000,200,Delantera
Mustang,Rojo,2017,40000,250,4x4
Focus,Negro,2019,40000,250,4x4
Focus,Gris,2018,35000,250,4x4
Focus,Azul,2017,50000,200,Trasera
Fiesta,Azul,2017,55000,200,4x4
Focus,Gris,2021,40000,150,Trasera
Mustang,Rojo,2018,55000,150,Trasera
Fiesta,Azul,2021,50000,200,Delantera
Explorer,Rojo,2019,45000,100,Trasera
Focus,Azul,2018,55000,250,4x4
Explorer,Blanco,2019,40000,250,Delantera
Fiesta,Negro,2020,45000,150,Trasera
Fiesta,Gris,2021,50000,150,4x4
Fiesta,Negro,2019,40000,200,Trasera
Focus,Blanco,2019,35000,100,Delantera
Focus,Gris,2020,50000,150,Delantera
Mustang,Azul,2017,45000,100,Delantera
Explorer,Rojo,2019,55000,200,4x4
Fiesta,Azul,2018,55000,100,Delantera
Explorer,Gris,2018,40000,250,Delantera
Explorer,Blanco,2017,35000,150,Trasera
Fiesta,Azul,2019,40000,150,Trasera
Mustang,Negro,2021,40000,200,Trasera
Focus,Gris,2019,40000,250,Delantera
Fiesta,Blanco,2019,45000,150,Delantera
Focus,Azul,2021,55000,200,Trasera
Mustang,Gris,2018,40000,100,Delantera
Fiesta,Gris,2020,45000,100,Delantera
Mustang,Gris,2017,50000,250,Trasera
Mustang,Azul,2020,40000,150,Trasera
Mustang,Blanco,2019,55000,250,Trasera
Fiesta,Blanco,2017,55000,250,Trasera
Fiesta,Negro,2017,55000,250,Delantera
Mustang,Gris,2021,50000,250,Delantera
Explorer,Rojo,2018,55000,100,Trasera
Explorer,Blanco,2017,55000,200,4x4
Mustang,Blanco,2018,40000,250,4x4
Mustang,Azul,2021,45000,250,Delantera
Mustang,Gris,2019,55000,150,Delantera
Focus,Azul,2018,35000,150,Delantera
Mustang,Negro,2019,45000,250,Trasera
Explorer,Rojo,2019,55000,150,Delantera
Focus,Blanco,2018,40000,150,Delantera
Explorer,Negro,2018,35000,200,Trasera
Fiesta,Azul,2017,50000,150,Trasera
Explorer,Rojo,2020,50000,250,4x4
Mustang,Gris,2020,35000,100,Trasera
Focus,Gris,2017,40000,100,4x4
Explorer,Azul,2021,35000,250,Delantera
Explorer,Azul,2018,35000,200,Delantera
Fiesta,Azul,2020,45000,100,Delantera
Fiesta,Gris,2019,40000,250,Trasera
Focus,Gris,2019,50000,200,Delantera
Focus,Azul,2017,35000,250,Delantera
Explorer,Rojo,2018,55000,200,Trasera
Explorer,Rojo,2019,40000,200,Trasera
Explorer,Azul,2020,35000,250,Trasera
Explorer,Negro,2021,45000,150,Trasera
Focus,Blanco,2019,40000,100,Trasera
Explorer,Azul,2021,35000,200,Delantera
Focus,Negro,2018,45000,150,4x4
Mustang,Azul,2017,40000,100,Delantera
Mustang,Negro,2019,55000,250,4x4
Mustang,Azul,2018,45000,100,Trasera
Mustang,Gris,2020,40000,150,Trasera
Focus,Blanco,2020,45000,200,Delantera
Focus,Gris,2017,35000,250,Trasera
Fiesta,Gris,2019,40000,250,Delantera
Mustang,Azul,2018,40000,150,4x4
Fiesta,Gris,2019,45000,150,Delantera
Mustang,Blanco,2017,40000,200,Trasera
Explorer,Rojo,2021,35000,200,4x4
Mustang,Rojo,2019,55000,250,4x4
Fiesta,Rojo,2021,50000,100,4x4
Mustang,Negro,2017,45000,150,Delantera
Fiesta,Negro,2018,35000,250,Delantera
Fiesta,Blanco,2019,45000,250,4x4
Focus,Gris,2017,50000,150,4x4
Fiesta,Rojo,2021,40000,100,Delantera
Mustang,Azul,2017,55000,150,4x4
Fiesta,Azul,2018,45000,200,Delantera
Mustang,Gris,2017,40000,100,Delantera
Mustang,Azul,2021,35000,250,Trasera
Mustang,Negro,2017,45000,250,4x4
Fiesta,Azul,2020,40000,150,Delantera
Mustang,Negro,2019,45000,150,Delantera
Focus,Rojo,2018,35000,100,Trasera
Fiesta,Rojo,2017,50000,100,4x4
Mustang,Rojo,2018,55000,100,4x4
Focus,Blanco,2018,45000,100,Delantera
Fiesta,Gris,2019,55000,250,Delantera
Mustang,Gris,2019,55000,250,Trasera
Fiesta,Rojo,2019,45000,150,Trasera
Focus,Rojo,2018,55000,200,Delantera
Mustang,Azul,2017,40000,150,4x4
Focus,Gris,2017,50000,250,4x4
Fiesta,Gris,2019,50000,200,Trasera
Fiesta,Negro,2020,35000,100,4x4
Explorer,Negro,2021,45000,250,Trasera
Focus,Gris,2018,45000,150,Delantera
Explorer,Negro,2021,50000,250,Trasera
Explorer,Azul,2021,50000,250,Delantera
Focus,Azul,2018,35000,200,4x4
Focus,Gris,2020,45000,200,Trasera
Explorer,Blanco,2017,50000,100,Delantera
Focus,Azul,2019,40000,250,4x4
Fiesta,Azul,2018,50000,150,Trasera
Explorer,Blanco,2017,40000,250,Delantera
Fiesta,Blanco,2017,45000,100,Trasera
Mustang,Rojo,2019,40000,150,4x4
Mustang,Gris,2017,55000,100,Delantera
Explorer,Blanco,2017,45000,100,Trasera
Mustang,Azul,2021,40000,150,Trasera
Focus,Azul,2017,35000,100,Delantera
Fiesta,Gris,2020,55000,250,Delantera
Mustang,Rojo,2020,50000,200,4x4
Explorer,Blanco,2018,55000,150,Delantera
Fiesta,Negro,2020,35000,100,Delantera
Fiesta,Rojo,2021,45000,150,Delantera
Focus,Rojo,2021,40000,150,Trasera
Explorer,Blanco,2019,45000,250,Delantera
Explorer,Azul,2020,55000,250,Delantera
Focus,Negro,2018,35000,100,Delantera
Mustang,Azul,2021,55000,150,Delantera
Explorer,Gris,2018,50000,250,Delantera
Focus,Gris,2019,40000,100,Trasera
Mustang,Azul,2019,55000,150,Trasera
Explorer,Gris,2017,50000,150,Trasera
Explorer,Negro,2018,55000,150,Delantera
Mustang,Negro,2020,45000,200,Delantera
Focus,Gris,2018,55000,200,Delantera
Fiesta,Azul,2017,45000,200,Delantera
Focus,Blanco,2018,50000,200,4x4
Mustang,Gris,2021,50000,250,Trasera
Explorer,Gris,2018,45000,100,Delantera
Mustang,Rojo,2018,35000,200,4x4
Fiesta,Blanco,2020,55000,150,4x4
Fiesta,Azul,2021,40000,100,Delantera
Focus,Rojo,2018,50000,200,Trasera
Explorer,Negro,2020,55000,200,Trasera
Mustang,Azul,2019,45000,250,Delantera
Fiesta,Rojo,2020,35000,250,Delantera
Explorer,Azul,2019,45000,150,4x4
Focus,Gris,2018,50000,200,Trasera
Focus,Negro,2021,55000,100,Delantera
Fiesta,Gris,2020,40000,100,Delantera
Fiesta,Azul,2019,50000,200,4x4
Focus,Negro,2020,50000,150,4x4
Focus,Blanco,2017,55000,150,Delantera
Fiesta,Negro,2021,50000,100,4x4
Focus,Negro,2021,45000,250,Trasera
Explorer,Rojo,2018,35000,200,4x4
Fiesta,Blanco,2021,35000,100,Delantera
Fiesta,Gris,2020,40000,150,Trasera
Explorer,Blanco,2021,35000,200,Delantera
Mustang,Rojo,2018,50000,100,Delantera
Explorer,Rojo,2021,45000,200,4x4
Mustang,Gris,2021,35000,100,Delantera
Mustang,Azul,2018,45000,100,Delantera
Explorer,Blanco,2018,40000,200,Trasera
Explorer,Azul,2021,50000,150,Trasera
Focus,Azul,2021,35000,250,Trasera
Mustang,Blanco,2019,45000,250,Delantera
Explorer,Rojo,2021,45000,150,Trasera
Explorer,Negro,2018,40000,250,Delantera
Focus,Rojo,2017,35000,150,4x4
Fiesta,Azul,2017,40000,100,Trasera
Focus,Gris,2019,45000,250,Delantera
Fiesta,Rojo,2017,40000,100,Delantera
Mustang,Gris,2020,55000,200,Trasera
Fiesta,Negro,2021,35000,150,Trasera
Focus,Blanco,2019,35000,100,Trasera
Mustang,Gris,2019,40000,250,Trasera
Focus,Azul,2018,45000,100,4x4
Explorer,Negro,2018,45000,200,Delantera
Mustang,Azul,2019,40000,200,Trasera
Fiesta,Azul,2021,45000,200,Delantera
Mustang,Rojo,2019,40000,200,4x4
Explorer,Gris,2017,40000,150,4x4
Explorer,Blanco,2020,50000,100,Trasera
Fiesta,Azul,2020,35000,250,Trasera
Mustang,Blanco,2017,55000,100,Trasera
Mustang,Gris,2021,50000,150,4x4
Mustang,Negro,2017,40000,150,Delantera
Focus,Azul,2017,40000,100,Delantera
Explorer,Azul,2019,40000,250,4x4
Focus,Gris,2018,40000,100,4x4
Fiesta,Azul,2019,45000,250,4x4
Focus,Azul,2019,45000,200,4x4
Fiesta,Azul,2018,45000,200,Trasera
Fiesta,Negro,2018,45000,100,Trasera
Mustang,Negro,2020,50000,150,Delantera
Fiesta,Rojo,2019,45000,250,Delantera
Explorer,Negro,2021,45000,100,4x4
Explorer,Blanco,2020,55000,150,Trasera
Fiesta,Negro,2017,35000,250,Trasera
Explorer,Gris,2020,45000,100,4x4
Mustang,Blanco,2021,45000,100,Delantera
Mustang,Gris,2019,45000,150,Delantera
Mustang,Rojo,2017,45000,250,Trasera
Mustang,Blanco,2019,45000,250,Delantera
Fiesta,Blanco,2017,50000,100,4x4
Explorer,Blanco,2017,35000,200,4x4
Explorer,Blanco,2017,50000,200,Delantera
Focus,Rojo,2021,55000,150,4x4
Explorer,Gris,2017,40000,100,4x4
Fiesta,Negro,2020,55000,250,Delantera
Mustang,Blanco,2018,50000,150,4x4
Focus,Rojo,2019,55000,150,Delantera
Mustang,Azul,2018,50000,200,4x4
Fiesta,Gris,2017,50000,150,Delantera
Mustang,Negro,2021,35000,150,Trasera
Fiesta,Blanco,2021,40000,200,Delantera
Explorer,Negro,2018,40000,250,Delantera
Explorer,Azul,2017,40000,200,4x4
Explorer,Blanco,2021,40000,200,Delantera
Focus,Gris,2021,45000,200,Delantera
Focus,Negro,2020,35000,100,4x4
Fiesta,Rojo,2021,50000,250,4x4
Mustang,Negro,2017,50000,200,Delantera
Focus,Gris,2020,45000,250,4x4
Fiesta,Azul,2021,35000,150,Trasera
Focus,Negro,2021,40000,150,Trasera
Focus,Rojo,2021,55000,250,4x4
Focus,Gris,2019,45000,200,Delantera
Mustang,Blanco,2018,50000,200,4x4
Fiesta,Blanco,2018,35000,100,4x4
Mustang,Rojo,2020,35000,150,Delantera
Fiesta,Blanco,2018,35000,200,Trasera
Fiesta,Rojo,2019,55000,100,4x4
Explorer,Negro,2018,55000,150,4x4
Fiesta,Negro,2021,50000,100,Delantera
Focus,Blanco,2021,55000,200,Delantera
Fiesta,Negro,2019,40000,150,4x4
Explorer,Azul,2021,55000,150,Trasera
Focus,Gris,2020,35000,100,Trasera
Focus,Negro,2020,50000,250,4x4
Explorer,Gris,2021,55000,100,Delantera
Focus,Azul,2018,40000,100,Delantera
Focus,Azul,2020,40000,250,Delantera
Explorer,Gris,2018,35000,200,Delantera
Explorer,Rojo,2021,45000,100,4x4
Mustang,Negro,2019,40000,250,Delantera
Fiesta,Rojo,2019,50000,250,Delantera
Fiesta,Rojo,2019,55000,150,Delantera
Mustang,Azul,2020,50000,150,Delantera
Explorer,Blanco,2017,55000,100,Trasera
Explorer,Azul,2018,45000,250,4x4
Mustang,Gris,2019,50000,200,Trasera
Focus,Azul,2019,55000,250,4x4
Fiesta,Negro,2020,35000,200,4x4
Mustang,Blanco,2020,50000,200,4x4
Focus,Azul,2019,45000,100,Delantera
Focus,Blanco,2017,55000,100,Trasera
Fiesta,Negro,2020,55000,200,4x4
Fiesta,Azul,2018,50000,200,4x4
Fiesta,Rojo,2020,50000,100,Trasera
Fiesta,Rojo,2020,55000,150,Trasera
Explorer,Blanco,2018,45000,150,4x4
Focus,Azul,2020,45000,100,Delantera
Fiesta,Negro,2019,45000,150,Delantera
Focus,Blanco,2020,40000,200,4x4
Focus,Negro,2017,45000,150,4x4
Mustang,Blanco,2017,35000,100,Trasera
Explorer,Negro,2020,40000,100,Trasera
Fiesta,Negro,2019,35000,250,Trasera
Mustang,Blanco,2017,35000,250,4x4
Explorer,Negro,2017,50000,150,Delantera
Explorer,Blanco,2020,50000,200,4x4
Fiesta,Blanco,2018,45000,150,4x4
Explorer,Azul,2021,55000,200,4x4
Fiesta,Negro,2019,50000,150,4x4
Focus,Gris,2017,40000,200,Trasera
Fiesta,Azul,2018,40000,250,Delantera
Focus,Rojo,2018,45000,200,Delantera
Focus,Negro,2020,40000,150,Trasera
Explorer,Gris,2018,45000,200,Trasera
Fiesta,Rojo,2017,40000,250,Trasera
Explorer,Blanco,2018,55000,200,Delantera
Mustang,Gris,2021,50000,250,Trasera
Fiesta,Rojo,2020,50000,100,4x4
Mustang,Rojo,2020,40000,200,Delantera
Mustang,Rojo,2021,40000,100,4x4
Explorer,Rojo,2020,35000,200,4x4
Explorer,Blanco,2019,40000,150,Delantera
Mustang,Rojo,2018,35000,200,Trasera
Mustang,Gris,2017,35000,150,Delantera
Mustang,Gris,2018,40000,250,Trasera
Mustang,Blanco,2017,45000,100,Delantera
Explorer,Gris,2019,35000,200,Trasera
Focus,Rojo,2019,40000,200,Trasera
Mustang,Blanco,2019,55000,150,4x4
Focus,Rojo,2020,35000,100,4x4
Explorer,Rojo,2017,50000,100,Delantera
Explorer,Azul,2017,45000,100,Trasera
Mustang,Rojo,2018,50000,250,Delantera
Focus,Negro,2018,40000,250,Trasera
Mustang,Negro,2018,45000,150,4x4
Explorer,Blanco,2018,55000,200,4x4
Explorer,Blanco,2020,50000,200,4x4
Focus,Rojo,2017,55000,150,Delantera
Focus,Azul,2018,35000,200,Trasera
Mustang,Blanco,2018,45000,200,4x4
Explorer,Gris,2017,40000,150,4x4
Mustang,Azul,2017,40000,200,4x4
Fiesta,Azul,2017,35000,100,4x4
Focus,Azul,2020,40000,100,Delantera
Fiesta,Negro,2018,35000,250,Trasera
Focus,Negro,2017,35000,200,Delantera
Focus,Negro,2020,35000,250,Delantera
Mustang,Blanco,2017,50000,150,Delantera
Mustang,Azul,2017,40000,200,Trasera
Focus,Gris,2018,35000,150,Delantera
Mustang,Negro,2020,50000,200,4x4
Mustang,Gris,2017,40000,100,Delantera
Focus,Negro,2021,40000,150,4x4
Explorer,Rojo,2017,55000,100,Trasera
Mustang,Blanco,2017,55000,150,Trasera
Explorer,Gris,2017,55000,200,Delantera
Explorer,Gris,2019,40000,250,Delantera
Explorer,Blanco,2018,50000,150,Trasera
Focus,Azul,2017,40000,250,4x4
Focus,Rojo,2021,55000,200,Trasera
Mustang,Blanco,2021,45000,100,4x4
Mustang,Negro,2020,55000,100,Delantera
Explorer,Blanco,2018,35000,250,4x4
Focus,Rojo,2017,35000,150,4x4
Explorer,Gris,2019,55000,100,Delantera
Focus,Gris,2018,40000,150,Trasera
Focus,Negro,2021,35000,100,Delantera
Mustang,Gris,2020,40000,250,Trasera
Mustang,Gris,2020,50000,150,Trasera
Fiesta,Rojo,2021,40000,250,4x4
Focus,Gris,2019,45000,100,Trasera
Explorer,Azul,2021,40000,100,4x4
Fiesta,Rojo,2019,50000,150,Delantera
Focus,Azul,2021,45000,100,Trasera
Mustang,Rojo,2021,55000,150,Delantera
Mustang,Azul,2021,35000,250,Delantera
Focus,Blanco,2018,55000,250,Trasera
Focus,Blanco,2017,45000,250,Delantera
Focus,Gris,2019,55000,200,4x4
Explorer,Negro,2020,35000,200,Trasera
Focus,Rojo,2019,40000,100,Delantera
Mustang,Azul,2018,50000,100,Trasera
Focus,Azul,2021,35000,200,Delantera
Fiesta,Negro,2021,35000,250,4x4
Fiesta,Blanco,2017,55000,200,4x4
Explorer,Rojo,2017,55000,200,Trasera
Fiesta,Gris,2017,55000,250,Delantera
Mustang,Azul,2019,55000,100,Delantera
Explorer,Blanco,2019,50000,250,Delantera
Fiesta,Rojo,2021,55000,250,4x4
Focus,Rojo,2018,55000,200,4x4
Explorer,Negro,2020,55000,200,Delantera
Mustang,Gris,2021,45000,150,4x4
Mustang,Blanco,2019,40000,200,Trasera
Explorer,Rojo,2020,35000,250,Trasera
Explorer,Negro,2018,45000,150,4x4
Focus,Azul,2020,40000,100,4x4
Focus,Blanco,2018,45000,250,4x4
Explorer,Rojo,2021,35000,100,Delantera
Focus,Blanco,2019,55000,250,Delantera
Explorer,Negro,2021,35000,200,Trasera
Fiesta,Azul,2021,40000,150,Trasera
Focus,Blanco,2019,40000,200,Delantera
Fiesta,Gris,2021,50000,100,4x4
Fiesta,Blanco,2019,50000,100,Delantera
Fiesta,Blanco,2017,50000,100,Trasera
Mustang,Azul,2017,40000,100,Trasera
Focus,Rojo,2018,40000,250,Delantera
Explorer,Azul,2021,50000,100,4x4
Mustang,Negro,2019,45000,250,4x4
Mustang,Rojo,2021,45000,200,4x4
Focus,Negro,2017,50000,100,Delantera
Fiesta,Gris,2017,50000,100,Delantera
Focus,Azul,2018,40000,200,Trasera
Explorer,Azul,2021,40000,250,4x4
Explorer,Blanco,2017,50000,100,4x4
Focus,Rojo,2017,40000,100,Trasera
Explorer,Gris,2021,40000,100,Delantera
Mustang,Gris,2019,40000,100,Trasera
Mustang,Azul,2020,50000,150,Trasera
Mustang,Azul,2021,45000,250,Delantera
Mustang,Blanco,2021,55000,100,Delantera
Fiesta,Blanco,2019,40000,100,Delantera
Mustang,Azul,2018,35000,150,4x4
Explorer,Blanco,2021,40000,100,4x4
Explorer,Negro,2021,50000,250,Delantera
Fiesta,Blanco,2019,55000,250,4x4
Fiesta,Rojo,2018,55000,150,4x4
Fiesta,Gris,2018,45000,250,Delantera
Fiesta,Rojo,2021,55000,200,Trasera
Fiesta,Azul,2020,45000,150,4x4
Mustang,Azul,2017,55000,250,Delantera
Mustang,Blanco,2018,40000,250,4x4
Focus,Negro,2021,35000,250,Trasera
Mustang,Blanco,2017,35000,100,Trasera
Focus,Rojo,2021,55000,100,Delantera
Fiesta,Rojo,2017,50000,150,4x4
Explorer,Rojo,2019,40000,250,Delantera
Fiesta,Gris,2017,45000,250,Delantera
Mustang,Negro,2019,50000,200,Trasera
Focus,Azul,2018,40000,200,4x4
Explorer,Negro,2019,45000,200,Trasera
Explorer,Rojo,2017,55000,100,4x4
Mustang,Azul,2018,55000,100,4x4
Focus,Negro,2020,40000,200,Trasera
Focus,Azul,2021,45000,150,Delantera
Fiesta,Azul,2020,55000,200,Delantera
Focus,Gris,2017,50000,250,Delantera
Mustang,Blanco,2018,40000,100,Trasera
Fiesta,Blanco,2018,50000,150,4x4
Fiesta,Rojo,2020,55000,250,Trasera
Explorer,Blanco,2021,40000,100,Trasera
Focus,Negro,2021,50000,150,Trasera
Explorer,Gris,2019,50000,200,Delantera
Fiesta,Blanco,2017,50000,200,Trasera
Mustang,Gris,2021,45000,150,4x4
Focus,Azul,2021,35000,250,4x4
Mustang,Gris,2020,50000,200,Trasera
Focus,Azul,2020,45000,250,4x4
Focus,Negro,2020,35000,200,Delantera
Explorer,Negro,2020,40000,200,Delantera
Explorer,Azul,2021,35000,200,Trasera
Mustang,Gris,2020,50000,250,Trasera
Focus,Azul,2019,55000,100,4x4
Fiesta,Gris,2017,35000,200,Delantera
Fiesta,Negro,2021,45000,150,Delantera
Fiesta,Negro,2018,35000,250,4x4
Focus,Gris,2021,50000,100,Delantera
Explorer,Gris,2020,50000,200,Delantera
Focus,Negro,2021,45000,100,Delantera
Explorer,Negro,2019,50000,250,Delantera
Explorer,Azul,2017,40000,200,Delantera
Fiesta,Negro,2020,40000,100,4x4
Mustang,Negro,2018,35000,200,Trasera
Focus,Blanco,2018,40000,250,Delantera
Explorer,Blanco,2017,35000,100,4x4
Mustang,Negro,2020,40000,250,Trasera
Explorer,Azul,2017,55000,250,Trasera
Mustang,Negro,2019,40000,150,4x4
Focus,Negro,2017,35000,200,Delantera
Mustang,Rojo,2018,50000,250,Delantera
Focus,Negro,2017,50000,200,4x4
Mustang,Negro,2018,40000,150,Delantera
Mustang,Blanco,2020,50000,150,Trasera
Fiesta,Azul,2018,35000,100,Trasera
Fiesta,Azul,2017,45000,100,4x4
Focus,Gris,2021,50000,250,4x4
Explorer,Blanco,2018,40000,100,4x4
Fiesta,Blanco,2017,40000,150,Delantera
Fiesta,Gris,2018,35000,250,4x4
Fiesta,Azul,2017,45000,100,Delantera
Mustang,Rojo,2021,55000,200,Trasera
Fiesta,Gris,2017,40000,100,4x4
Explorer,Negro,2020,45000,100,Trasera
Explorer,Rojo,2019,40000,250,Delantera
Mustang,Gris,2019,50000,250,Trasera
Explorer,Rojo,2017,35000,100,Delantera
Explorer,Gris,2019,40000,250,Delantera
Focus,Blanco,2020,50000,150,Delantera
Fiesta,Rojo,2020,55000,150,4x4
Fiesta,Negro,2017,50000,150,Trasera
Fiesta,Blanco,2020,45000,150,Trasera
Mustang,Negro,2021,40000,200,4x4
Mustang,Blanco,2018,35000,250,Trasera
Fiesta,Negro,2017,55000,200,4x4
Fiesta,Azul,2019,40000,150,Delantera
Mustang,Blanco,2018,40000,250,Delantera
Focus,Rojo,2020,40000,200,Trasera
Fiesta,Rojo,2018,50000,250,Trasera
Focus,Gris,2021,40000,150,Delantera
Fiesta,Azul,2020,35000,200,Delantera
Mustang,Gris,2020,55000,200,4x4
Fiesta,Negro,2019,40000,150,4x4
Mustang,Azul,2020,50000,200,Trasera
Mustang,Rojo,2017,55000,250,4x4
Explorer,Negro,2018,50000,100,Trasera
Focus,Gris,2020,40000,200,4x4
Explorer,Gris,2017,50000,250,Delantera
Focus,Negro,2021,50000,100,4x4
Fiesta,Rojo,2019,55000,200,Trasera
Explorer,Azul,2020,50000,150,4x4
Mustang,Azul,2020,55000,150,Trasera
Focus,Blanco,2018,55000,150,Trasera
Focus,Azul,2017,50000,150,4x4
Mustang,Negro,2021,45000,100,Delantera
Fiesta,Azul,2019,55000,100,Delantera
Mustang,Negro,2019,35000,100,Delantera
Explorer,Negro,2021,50000,250,Trasera
Focus,Negro,2018,40000,250,Trasera
Explorer,Negro,2017,50000,150,Trasera
Fiesta,Negro,2017,55000,200,Delantera
Explorer,Blanco,2018,45000,200,Trasera
Explorer,Negro,2019,40000,250,Delantera
Fiesta,Blanco,2019,40000,250,Trasera
Focus,Azul,2021,55000,200,Delantera
Mustang,Rojo,2017,45000,250,Delantera
Focus,Gris,2018,55000,100,4x4
Focus,Rojo,2017,40000,250,Trasera
Fiesta,Negro,2019,45000,200,4x4
Explorer,Blanco,2020,35000,250,4x4
Mustang,Azul,2018,40000,150,Delantera
Fiesta,Negro,2020,35000,150,Delantera
Focus,Gris,2018,55000,200,Trasera
Explorer,Negro,2017,50000,250,Trasera
Fiesta,Rojo,2020,35000,150,Delantera
Fiesta,Azul,2020,45000,250,Delantera
Explorer,Blanco,2018,35000,150,Delantera
Fiesta,Blanco,2020,35000,150,Trasera
Mustang,Rojo,2017,45000,100,Trasera
Mustang,Rojo,2020,50000,250,4x4
Mustang,Gris,2017,50000,200,Delantera
Fiesta,Gris,2019,40000,250,Delantera
Fiesta,Negro,2019,40000,200,4x4
Explorer,Rojo,2019,55000,250,Delantera
Mustang,Gris,2020,50000,250,Trasera
Explorer,Negro,2017,50000,100,4x4
Focus,Negro,2021,55000,100,4x4
Mustang,Azul,2020,40000,100,Delantera
Focus,Gris,2020,55000,100,Trasera
Explorer,Negro,2017,40000,150,Delantera
Explorer,Rojo,2017,45000,150,Trasera
Mustang,Gris,2018,50000,150,Trasera
Mustang,Rojo,2018,45000,250,4x4
Focus,Blanco,2017,55000,150,Delantera
Fiesta,Negro,2020,55000,100,4x4
Explorer,Gris,2017,55000,200,Trasera
Focus,Blanco,2021,35000,150,Delantera
Focus,Rojo,2018,35000,250,Trasera
Mustang,Azul,2020,40000,150,Trasera
Explorer,Azul,2019,40000,250,4x4
