objectId,Year,Make,Model,Category,createdAt,updatedAt
pTGFRlqNAZ,2020,Hyundai,Elantra,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
e5835fdPKX,2020,Honda,Passport,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
rYV3CVGElN,2020,Dodge,Charger,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
DemETgxfzm,2020,Honda,Accord,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
ZcDno27E49,2020,INFINITI,QX60,SUV,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
eQ15fbmmpw,2020,Hyundai,Venue,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
bAVM6QBgYF,2020,Honda,Pilot,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
IeeTDLPJtc,2020,Jeep,Grand Cherokee,SUV,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
5nK3Kjti74,2020,Chevrolet,Tahoe,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
ZnSQK6bmSf,2020,GMC,Acadia,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
MGgtV71Gqh,2020,Chevrolet,Impala,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
QHVcYMkgs8,2020,Honda,CR-V,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
0qpktkoahP,2020,BMW,X5,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
wqjaR037XL,2020,INFINITI,Q60,Coupe,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
4pZjPmNsj5,2020,Ford,Ranger SuperCrew,Pickup,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
nAVMCHuWui,2020,Chevrolet,Trax,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
nvlklkJGRL,2020,Hyundai,Ioniq Plug-in Hybrid,Hatchback,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
Ok8T6kagAQ,2020,Jaguar,E-PACE,SUV,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
2o8HcNPula,2020,Hyundai,Tucson,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
IDXLjYyc46,2020,Ford,Explorer,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
DMfFQRFW7L,2020,Honda,HR-V,SUV,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
LQNej2UoF0,2020,Jaguar,I-PACE,SUV,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
US1p57Oo8w,2020,INFINITI,Q50,Sedan,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
SQx4TCijoz,2020,Genesis,G80,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
JsaO4qw9cM,2020,Jaguar,F-PACE,SUV,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
LnUsyZRETe,2020,Jeep,Renegade,SUV,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
lJtQk4oNv7,2020,Hyundai,Accent,Sedan,2020-01-27T20:44:17.665Z,2020-01-27T20:44:17.665Z
xxKBCB6qe4,2020,Jaguar,F-TYPE,Convertible,2020-01-27T20:44:17.666Z,2020-01-27T20:44:17.666Z
0yxWejt1Kj,2020,Jeep,Wrangler,SUV,2020-01-27T20:44:18.005Z,2020-01-27T20:44:18.005Z
dquJk1A8lm,2020,Kia,Sorento,SUV,2020-01-27T20:44:18.005Z,2020-01-27T20:44:18.005Z
kthyzkzwOr,2020,Kia,Rio,"Sedan, Hatchback",2020-01-27T20:44:18.005Z,2020-01-27T20:44:18.005Z
l0ZxQJr6dc,2020,Land Rover,Discovery Sport,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
oo53hnp2P1,2020,Kia,Sedona,Van/Minivan,2020-01-27T20:44:18.005Z,2020-01-27T20:44:18.005Z
nFb7cI8Sk6,2020,Kia,Optima,Sedan,2020-01-27T20:44:18.005Z,2020-01-27T20:44:18.005Z
YzwRfzL0uV,2020,Kia,Sportage,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
ZrJEw5FT5Z,2020,Kia,Optima Hybrid,Sedan,2020-01-27T20:44:18.005Z,2020-01-27T20:44:18.005Z
jjkQu6OvNz,2020,Kia,Optima Plug-in Hybrid,Sedan,2020-01-27T20:44:18.005Z,2020-01-27T20:44:18.005Z
YdnaZQmFIB,2020,Land Rover,Range Rover Evoque,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
4WEua9GTCy,2020,Kia,Telluride,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
BDXZuTt2Yh,2020,Kia,Forte,Sedan,2020-01-27T20:44:18.005Z,2020-01-27T20:44:18.005Z
EJq3Yt9FKG,2020,Jeep,Wrangler Unlimited,SUV,2020-01-27T20:44:18.005Z,2020-01-27T20:44:18.005Z
sTp52PebGT,2020,Kia,Soul,Wagon,2020-01-27T20:44:18.005Z,2020-01-27T20:44:18.005Z
Xv6yD7wyNA,2020,Land Rover,Range Rover Sport,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
HtCInoVvUS,2020,Land Rover,Range Rover,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
jDCmqwjhR3,2020,Kia,Stinger,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
EfmLCaRB79,2020,Land Rover,Discovery,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
eWF8kdEUAc,2020,Land Rover,Range Rover Velar,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
7tsGYqXUUF,2020,Lexus,ES,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
3L39B06Lvk,2020,Lexus,LC,Coupe,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
BBndyIrB32,2020,Lexus,LX,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
Z8cpJng1P5,2020,Lexus,RC,Coupe,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
VKR5opkrfH,2020,Lexus,GX,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
lqFwthLaBG,2020,Lexus,IS,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
OUjPRZrwv4,2020,Lexus,GS,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
ur0DyHrVuX,2020,Lexus,LS,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
Bk6SLEfNLj,2020,Lexus,UX,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
qEzHd8PYEr,2020,Mercedes-Benz,GLS,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
3vSeFSb1xL,2020,Mercedes-Benz,CLA,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
iP9HxrAHwE,2020,Mitsubishi,Outlander Sport,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
8vNEmhRrBc,2020,Lincoln,MKZ,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
pJ8KCIdjvW,2020,Lincoln,Aviator,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
KdEmV75BEr,2020,Lexus,NX,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
Oo3K9UZH6M,2020,MAZDA,CX-30,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
ENLLvc2FMe,2020,Mitsubishi,Eclipse Cross,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
K6qv32UGvz,2020,MAZDA,MAZDA3,"Sedan, Hatchback",2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
CAl0QnYLJ2,2020,Mitsubishi,Mirage G4,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
aHI5mPH8ej,2020,Lincoln,Navigator,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
mQZjcV8jrg,2020,Nissan,Armada,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
iqt8L2RTH8,2020,MAZDA,CX-5,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
kX7uNUav4L,2020,Lincoln,Corsair,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
u6CTuVfysm,2020,Lincoln,Navigator L,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
fCMzAAEtKV,2020,Mercedes-Benz,G-Class,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
ICcRQszKKg,2020,Lincoln,Nautilus,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
n7ynnBKxR7,2020,Lexus,RX,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
ny7Q06qq0B,2020,Nissan,Kicks,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
PgWKyb4ddv,2020,Nissan,Murano,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
5pjLCIqjlI,2020,MAZDA,MAZDA6,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
iwvFvdCK8G,2020,Mercedes-Benz,C-Class,"Convertible, Sedan, Coupe",2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
PI9vHiuNHt,2020,Nissan,NV3500 HD Passenger,Van/Minivan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
Ppkgc3RCz0,2020,Mercedes-Benz,GLA,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
nOdWfjP8ke,2020,MAZDA,CX-9,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
HEEOI4PZxU,2020,Nissan,NV1500 Cargo,Van/Minivan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
ITW67EHFIc,2020,Mercedes-Benz,E-Class,"Coupe, Wagon, Sedan, Convertible",2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
2dt5vjZVTd,2020,MINI,Countryman,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
P3mXDWEn4A,2020,Mercedes-Benz,GLE,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
kegvzbUeA0,2020,Nissan,Maxima,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
LUDDzahrJp,2020,Nissan,370Z,Coupe,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
LdTQf3DHoQ,2020,Mercedes-Benz,GLC,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
FGVNj41ahi,2020,Mitsubishi,Mirage,Hatchback,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
HiWA5J4OkQ,2020,Nissan,Altima,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
e1lijtAW99,2020,Nissan,GT-R,Coupe,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
INHGpFi6VO,2020,Mitsubishi,Outlander,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
oNBhBBLs3X,2020,Mitsubishi,Outlander PHEV,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
ZK9xucAlXl,2020,Nissan,NV3500 HD Cargo,Van/Minivan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
Xhw3FFG8Xg,2020,Porsche,Panamera,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
DG0MniMzpR,2020,Porsche,Taycan,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
1nHsuy9NYl,2020,Nissan,Pathfinder,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
JlheVLtpok,2020,Nissan,Rogue,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
kGzRBCeu43,2020,Nissan,NV200,Van/Minivan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
HPTe5REepK,2020,Porsche,911,Convertible,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
mDGyeW0kbs,2020,Nissan,Rogue Sport,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
29bMYLpQtu,2020,Porsche,Macan,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
Iui1nHUG5h,2020,Porsche,Cayenne Coupe,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
SIQPSjVVRc,2020,Porsche,Cayenne,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
zgmFYlvdHx,2020,Nissan,NV2500 HD Cargo,Van/Minivan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
jACG70Auym,2020,Ram,3500 Crew Cab,Pickup,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
CkFqGiZlW6,2020,Ram,1500 Crew Cab,Pickup,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
VXKZNum2v4,2020,Subaru,BRZ,Coupe,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
Z5nXB7i3A7,2020,Nissan,Versa,Sedan,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
Dm2leqJLBZ,2020,Toyota,Avalon,Sedan,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
ddiUDdlHma,2020,Subaru,WRX,Sedan,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
Wa48C9W0U9,2020,Toyota,Camry,Sedan,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
8nFlIZ8ixN,2020,Subaru,Impreza,"Wagon, Sedan",2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
TlwQS7c839,2020,Subaru,Ascent,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
wlZ7oN49bD,2020,Subaru,Legacy,Sedan,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
maydRt0Ph8,2020,Toyota,Corolla Hatchback,Hatchback,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
h6CUCvtOxH,2020,Subaru,Crosstrek,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
EBZqOFlbNQ,2020,Toyota,Corolla,Sedan,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
5S8PN4igRE,2020,Toyota,86,Coupe,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
U0OkQ1Vufy,2020,Subaru,Forester,SUV,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
zMTV1K1mJg,2020,Toyota,Avalon Hybrid,Sedan,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
8g28AwPl9W,2020,Ram,2500 Crew Cab,Pickup,2020-01-27T20:44:18.006Z,2020-01-27T20:44:18.006Z
cuwM0UhTxg,2020,Toyota,4Runner,SUV,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
YL5KuTEDUx,2020,Subaru,Outback,SUV,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
m5bHpRT9Lo,2020,Toyota,C-HR,SUV,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
GxpbwmZa5w,2020,Toyota,Camry Hybrid,Sedan,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
xMFKrqRcF1,2020,Toyota,Corolla Hybrid,Sedan,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
6Ii0KCFBDn,2020,Toyota,GR Supra,Coupe,2020-01-27T20:44:18.007Z,2020-01-27T20:44:18.007Z
48wH6VM1pv,2020,Toyota,Highlander,SUV,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
3e7zSCgSox,2020,Toyota,Prius,Hatchback,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
5i45FzPw3t,2020,Toyota,Prius Prime,Hatchback,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
AQVtIaqSAj,2020,Toyota,RAV4,SUV,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
ZPmI3oTIhJ,2020,Toyota,Tacoma Access Cab,Pickup,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
rEvPcEv5Fi,2020,Toyota,Sienna,Van/Minivan,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
bjZktMbMDL,2020,Toyota,Land Cruiser,SUV,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
2cSRz38TY9,2020,Toyota,Yaris,Sedan,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
gpN18fODQL,2020,Toyota,RAV4 Hybrid,SUV,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
FhgtmBwp8E,2020,Toyota,Highlander Hybrid,SUV,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
5sWLRFwzht,2020,Toyota,Sequoia,SUV,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
mG9sBB2BuA,2020,Toyota,Tundra Double Cab,Pickup,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
Al36zxCYXq,2020,Toyota,Tacoma Double Cab,Pickup,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
D3Lno4qQPy,2020,Toyota,Tundra CrewMax,Pickup,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
djm2SnTflV,2020,Volkswagen,Passat,Sedan,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
4beWimqyBE,2020,Toyota,Yaris Hatchback,Hatchback,2020-01-27T20:44:18.039Z,2020-01-27T20:44:18.039Z
