modelo,color,año,precio,altura,peso,imagen
Sentra,Rojo,2020,350000,150 cm.,1000 k.,https://www.kbb.com/wp-content/uploads/2020/11/2021-nissan-sentra-grey-front-3qtr.jpg
Pathfinder,Gris,2021,550000,170 cm.,1600 k.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiWAXHyltVskUowwlraW6bcyFc6IDzyQrDZw&usqp=CAU
Kicks,Gris,2022,350000,180 cm.,1000 k.,https://www.elcarrocolombiano.com/wp-content/uploads/2021/02/20210211-NISSAN-KICKS-2022-PORTADA.jpg
Maxima,Gris,2023,400000,160 cm.,1600 k.,https://i2.wp.com/gtautoperformance.com/wp-content/uploads/2016/01/Nissan-Maxima-SR-2016.jpg
Sentra,Blanco,2021,500000,180 cm.,1200 k.,https://www.kbb.com/wp-content/uploads/2020/11/2021-nissan-sentra-grey-front-3qtr.jpg
Rogue,Blanco,2020,500000,180 cm.,1000 k.,https://i0.wp.com/nissanmodel.com/wp-content/uploads/2021/02/2023-Nissan-Rogue-Platinum.jpg?w=1200&ssl=1
Maxima,Rojo,2022,450000,150 cm.,1000 k.,https://i2.wp.com/gtautoperformance.com/wp-content/uploads/2016/01/Nissan-Maxima-SR-2016.jpg
Armada,Gris,2022,450000,150 cm.,1200 k.,https://geeksroom.com/wp-content/uploads/2022/06/2022-Nissan-Armada-SL-4WD-27.jpg
Maxima,Gris,2022,350000,180 cm.,1000 k.,https://i2.wp.com/gtautoperformance.com/wp-content/uploads/2016/01/Nissan-Maxima-SR-2016.jpg
Altima,Azul,2023,350000,160 cm.,1600 k.,https://9kuyruk.com/upload/9-kuyruk-2023-nissan-altima-ozellikleri.jpeg
Pathfinder,Gris,2023,350000,180 cm.,1600 k.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiWAXHyltVskUowwlraW6bcyFc6IDzyQrDZw&usqp=CAU
Kicks,Negro,2021,450000,170 cm.,1000 k.,https://www.elcarrocolombiano.com/wp-content/uploads/2021/02/20210211-NISSAN-KICKS-2022-PORTADA.jpg
Rogue,Negro,2021,550000,180 cm.,1200 k.,https://i0.wp.com/nissanmodel.com/wp-content/uploads/2021/02/2023-Nissan-Rogue-Platinum.jpg?w=1200&ssl=1
Rogue,Blanco,2022,350000,160 cm.,1000 k.,https://i0.wp.com/nissanmodel.com/wp-content/uploads/2021/02/2023-Nissan-Rogue-Platinum.jpg?w=1200&ssl=1
Maxima,Blanco,2023,500000,170 cm.,1000 k.,https://i2.wp.com/gtautoperformance.com/wp-content/uploads/2016/01/Nissan-Maxima-SR-2016.jpg
Altima,Azul,2021,550000,160 cm.,1600 k.,https://9kuyruk.com/upload/9-kuyruk-2023-nissan-altima-ozellikleri.jpeg
Maxima,Azul,2021,550000,180 cm.,1600 k.,https://i2.wp.com/gtautoperformance.com/wp-content/uploads/2016/01/Nissan-Maxima-SR-2016.jpg
